data;orientacao;midia;tipo_midia;campanha;investimento;impressoes;cliques;visitas;pedidos
01/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;164;20
01/01/2024;consideracao;midia2;tipo3;asc;11501,5;2382025;7342;4799;509
01/01/2024;consideracao;midia2;tipo3;carrossel;1396,21;235181;1228;271;27
01/01/2024;consideracao;midia2;tipo3;ppl;5368,72;938391;2481;413;52
01/01/2024;consideracao;midia1;tipo1;1p-2p;26089,61794;23099;4052;2988;455
01/01/2024;consideracao;midia1;tipo1;3p;12175,45936;26776;3479;846;60
01/01/2024;consideracao;midia1;tipo1;dsa;379,16;1183;213;278;5
01/01/2024;consideracao;midia1;tipo1;termos;21,847203;69;8;18;1
01/01/2024;consideracao;midia6;tipo3;display;1622,15;379484;1244;162;9
01/01/2024;consideracao;midia7;tipo3;display;4328,97;402645;9585;464;0
01/01/2024;conversao;midia1;tipo2;pmax;25620,64813;2550740;57352;33564;698
02/01/2024;afiliados;midia3;tipo2;afiliados;9900;0;0;1140;246
02/01/2024;consideracao;midia2;tipo3;asc;33216,91;6174628;18173;12215;1494
02/01/2024;consideracao;midia2;tipo3;carrossel;3967,49;549429;2538;727;91
02/01/2024;consideracao;midia2;tipo3;ppl;14282,17;2098533;5777;1197;149
02/01/2024;consideracao;midia1;tipo1;1p-2p;46373,72102;53608;9409;6963;1037
02/01/2024;consideracao;midia1;tipo1;3p;26184,13497;49410;6177;1672;135
02/01/2024;consideracao;midia1;tipo1;dsa;2408,7;4671;1331;1293;35
02/01/2024;consideracao;midia1;tipo1;termos;700,32028;606;165;117;13
02/01/2024;consideracao;midia6;tipo3;display;2449,29;453139;1525;167;17
02/01/2024;consideracao;midia7;tipo3;display;4273,309999;326180;9102;546;1
02/01/2024;conversao;midia1;tipo2;pmax;86414,58227;4443651;145165;74064;2066
03/01/2024;afiliados;midia3;tipo2;afiliados;0;0;0;622;122
03/01/2024;consideracao;midia2;tipo3;asc;40142,6;6664055;20077;13934;1604
03/01/2024;consideracao;midia2;tipo3;carrossel;5463,129999;690277;3097;961;83
03/01/2024;consideracao;midia2;tipo3;ppl;17463,32;2315392;6483;1321;184
03/01/2024;consideracao;midia1;tipo1;1p-2p;47274,04297;55912;9900;7270;1118
03/01/2024;consideracao;midia1;tipo1;3p;28694,75662;51107;6091;1713;130
03/01/2024;consideracao;midia1;tipo1;dsa;1825,67;3803;1020;1018;30
03/01/2024;consideracao;midia1;tipo1;termos;220,736403;336;51;52;6
03/01/2024;consideracao;midia6;tipo3;display;1725,269999;323662;1118;117;8
03/01/2024;consideracao;midia7;tipo3;display;4336,47;306089;6552;395;0
03/01/2024;conversao;midia1;tipo2;pmax;75019,133;3409562;126732;63426;1972
04/01/2024;afiliados;midia3;tipo2;afiliados;49500;0;0;1226;286
04/01/2024;consideracao;midia2;tipo3;asc;38386,54;6535938;19436;13858;1567
04/01/2024;consideracao;midia2;tipo3;carrossel;5577,87;714610;3115;1127;92
04/01/2024;consideracao;midia2;tipo3;ppl;18281,32;2376014;6607;1156;132
04/01/2024;consideracao;midia1;tipo1;1p-2p;45731,07167;54739;9640;7155;1114
04/01/2024;consideracao;midia1;tipo1;3p;28820,0043;48239;5665;1679;138
04/01/2024;consideracao;midia1;tipo1;dsa;1831,49;3814;1078;1067;32
04/01/2024;consideracao;midia1;tipo1;termos;120,470854;280;44;47;5
04/01/2024;consideracao;midia6;tipo3;display;2412,65;462554;1480;164;15
04/01/2024;consideracao;midia7;tipo3;display;2275,53;218174;5487;281;0
04/01/2024;conversao;midia1;tipo2;pmax;99948,4597;5245763;145127;85533;2193
05/01/2024;afiliados;midia3;tipo2;afiliados;660;0;0;1116;240
05/01/2024;consideracao;midia2;tipo3;asc;38481,58;6297806;17326;12423;1420
05/01/2024;consideracao;midia2;tipo3;carrossel;5299,99;637484;2663;1107;80
